Section	Q.No	Question	Type	Options	Risk Weight	Risk Description
After Marriage	41	Do you prioritize relationship?	MCQ	High;Medium;Low;None	Low	Mismatch has minor or manageable impact
After Marriage	42	How do you express love?	MSQ	Words;Actions;Time;Touch	Medium	Mismatch may create recurring friction
After Marriage	43	Do you feel heard in conflicts?	MCQ	Always;Often;Sometimes;Never	Low	Mismatch has minor or manageable impact
After Marriage	44	How do you manage anger?	MCQ	Control;Express;Suppress;Explode	Low	Mismatch has minor or manageable impact
After Marriage	45	Are habits causing friction?	MCQ	No;Minor;Moderate;Major	High	Critical mismatch can cause long-term conflict or breakup
After Marriage	46	Do you feel understood?	MCQ	Always;Often;Sometimes;Never	Low	Mismatch has minor or manageable impact
After Marriage	47	How often do you reconnect?	MCQ	Daily;Weekly;Rarely;Never	Low	Mismatch has minor or manageable impact
After Marriage	48	Do you see future together?	MCQ	Strong;Unclear;Weak;No	Medium	Mismatch may create recurring friction
After Marriage	49	Are issues resolved or repeated?	MCQ	Resolved;Mixed;Repeated;Ignored	Low	Mismatch has minor or manageable impact
After Marriage	50	Would you choose your partner again?	MCQ	Yes;Maybe;Unsure;No	High	Critical mismatch can cause long-term conflict or breakup
